method,f1_micro,f1_macro,accuracy,fold_num,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,num_channels
LRP,0.9454545454545454,0.943881065581448,0.9454545454545454,1,1,1,1,1,1,1,1,0,1
LRP,0.9454545454545454,0.9440713786532188,0.9454545454545454,2,1,1,1,1,1,1,1,0,1
LRP,0.9588516746411484,0.9579881251574428,0.9588516746411484,3,1,1,1,1,1,1,1,0,1
LRP,0.9311004784688997,0.929916701331845,0.9311004784688997,4,1,1,1,1,1,1,1,0,1
LRP,0.9435406698564592,0.9419081253113298,0.9435406698564592,5,1,1,1,1,1,1,1,0,1
LRP,0.9186602870813396,0.9153815540287372,0.9186602870813396,1,1,1,1,0,1,1,1,0,2
LRP,0.9435406698564592,0.9414763763272594,0.9435406698564592,2,1,1,1,0,1,1,1,0,2
LRP,0.9416267942583731,0.9397414493446784,0.9416267942583731,3,1,1,1,0,1,1,1,0,2
LRP,0.9263157894736842,0.9236941677403524,0.9263157894736842,4,1,1,1,0,1,1,1,0,2
LRP,0.9177033492822968,0.9146129158146444,0.9177033492822968,5,1,1,1,0,1,1,1,0,2
LRP,0.8851674641148326,0.8803626708446409,0.8851674641148325,1,1,1,1,0,1,1,0,0,3
LRP,0.8880382775119617,0.8840195723635276,0.8880382775119617,2,1,1,1,0,1,1,0,0,3
LRP,0.81244019138756,0.8051137513274735,0.8124401913875599,3,1,1,1,0,1,1,0,0,3
LRP,0.8497607655502393,0.8431145416352365,0.8497607655502393,4,1,1,1,0,1,1,0,0,3
LRP,0.8478468899521531,0.8321902142259846,0.8478468899521531,5,1,1,1,0,1,1,0,0,3
LRP,0.8210526315789475,0.8122087966751453,0.8210526315789474,1,1,1,1,0,0,1,0,0,4
LRP,0.8114832535885167,0.8066019709618838,0.8114832535885167,2,1,1,1,0,0,1,0,0,4
LRP,0.8076555023923445,0.8006996566375336,0.8076555023923445,3,1,1,1,0,0,1,0,0,4
LRP,0.8430622009569378,0.8377657824295562,0.8430622009569378,4,1,1,1,0,0,1,0,0,4
LRP,0.830622009569378,0.8282664173099571,0.830622009569378,5,1,1,1,0,0,1,0,0,4
LRP,0.8918660287081339,0.8891886967036586,0.8918660287081339,1,1,1,0,0,0,1,0,0,5
LRP,0.8861244019138756,0.8823054914370969,0.8861244019138756,2,1,1,0,0,0,1,0,0,5
LRP,0.8430622009569378,0.838819398558264,0.8430622009569378,3,1,1,0,0,0,1,0,0,5
LRP,0.7980861244019137,0.7887411093902001,0.7980861244019138,4,1,1,0,0,0,1,0,0,5
LRP,0.8574162679425839,0.8511203526254758,0.8574162679425837,5,1,1,0,0,0,1,0,0,5
LRP,0.769377990430622,0.7599137143250904,0.769377990430622,1,1,0,0,0,0,1,0,0,6
LRP,0.7550239234449759,0.7499301206092508,0.755023923444976,2,1,0,0,0,0,1,0,0,6
LRP,0.8918660287081339,0.8878779398752272,0.8918660287081339,3,1,0,0,0,0,1,0,0,6
LRP,0.7263157894736842,0.7198120519805197,0.7263157894736842,4,1,0,0,0,0,1,0,0,6
LRP,0.7875598086124402,0.7836006848324113,0.7875598086124402,5,1,0,0,0,0,1,0,0,6
LRP,0.6995215311004784,0.6912061018890931,0.6995215311004784,1,0,0,0,0,0,1,0,0,7
LRP,0.7645933014354067,0.7609747275482016,0.7645933014354067,2,0,0,0,0,0,1,0,0,7
LRP,0.8133971291866029,0.8096345280068219,0.8133971291866029,3,0,0,0,0,0,1,0,0,7
LRP,0.7062200956937799,0.696094616361315,0.7062200956937799,4,0,0,0,0,0,1,0,0,7
LRP,0.754066985645933,0.7426488532273922,0.754066985645933,5,0,0,0,0,0,1,0,0,7
